"Pollster","Date","Sample Size","Stratification","Methodology","Fieldwork Start","Fieldwork End","PS - Partido Socialista","AD - Aliança Democrática","BE - Bloco de Esquerda","PCP-PEV - Coligação Democrática Unitária","PAN - Pessoas-Animais-Natureza","A - Aliança","L - Livre","Liberal - Iniciativa Liberal","Chega - Chega","Outros - Outros/Brancos/Nulos","PSD - Partido Social Democrata","CDS-PP - Partido Popular","PAF - PSD/CDS - Portugal à Frente (2015)"
"Duplimétrica/IPESPE","23/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","21/02/2024","23/02/2024","28.0","28.0","6.0","2.0","1.0","","3.0","7.0","20.0","5.0","","",""
"CESOP-U.Católica","21/02/2024","1284","Aleatória","['Telefónica']","19/02/2024","21/02/2024","29.0","35.0","4.0","2.0","1.0","","3.0","6.0","17.0","3.0","","",""
"Duplimétrica/IPESPE","20/02/2024","800","Aleatória por cotas","['Telefónica']","10/02/2024","20/02/2024","26.0","29.0","4.0","2.0","2.0","","3.0","7.0","20.0","7.0","","",""
"Aximage","13/02/2024","805","Quotas por Sexo, Idade e Região","['Telefónica', 'Online']","8/02/2024","13/02/2024","33.1","27.7","6.3","2.3","3.3","","2.8","4.9","16.4","3.2","","",""
"Consulmark2","12/02/2024","804","Estratificada por Sexo, Idade e Região","['Telefónica']","6/02/2024","12/02/2024","27.4","30.0","4.2","2.6","1.2","","2.9","5.4","18.4","8.0","","",""
"Intercampus","10/02/2024","608","Quotas, por região, género e idade","['Telefónica']","6/02/2024","10/02/2024","25.6","27.7","6.2","3.1","3.7","","3.1","7.5","18.8","4.3","","",""
"CESOP-U.Católica","01/02/2024","1192","Estratificada por sexo, idade e região","['Telefónica']","24/01/2024","1/02/2024","28.0","32.0","5.0","2.0","1.0","","3.0","6.0","19.0","4.0","","",""
"ICS/ISCTE/GFK Metris","25/01/2024","804","Quotas, por Sexo, Idade, Instrução, Região e Habitat","['Presencial']","16/01/2024","25/01/2024","29.0","27.0","5.0","3.0","1.0","","1.0","5.0","21.0","7.0","","",""
"Aximage","20/01/2024","801","Quotas por sexo, idade e região","['Telefónica', 'Online']","16/01/2024","20/01/2024","32.7","27.4","8.0","2.6","2.9","","1.9","4.2","16.2","4.1","","",""
"Intercampus","20/01/2024","637","Quotas por género e idade","['Telefónica']","16/01/2024","20/01/2024","30.9","24.3","8.7","4.6","2.6","","1.5","6.3","19.4","1.8","","",""
"Consulmark2","17/01/2024","801","Estratificada por sexo, idade e região","['Telefónica']","11/01/2024","17/01/2024","26.8","28.2","7.1","3.4","1.3","","2.1","6.3","17.5","7.4","","",""
"Aximage","23/12/2023","805","Quotas por sexo, idade e região","['Telefónica']","18/12/2023","23/12/2023","34.1","","6.3","2.7","3.7","","1.8","4.1","16.3","5.0","24.8","1.2",""
"Intercampus","21/12/2023","611","Quotas, por género e idade","['Telefónica']","18/12/2023","21/12/2023","29.3","","10.1","3.3","3.5","","2.7","7.6","13.4","2.3","26.0","1.8",""
"Consulmark2","20/12/2023","803","Quotas por sexo, idade e região","['Telefónica']","17/12/2023","20/12/2023","26.5","","7.7","2.8","0.8","","2.3","5.8","15.2","9.7","27.5","1.7",""
"Consulmark2","06/12/2023","575","Estratificada, por sexo, idade e região","['Telefónica']","30/11/2023","6/12/2023","26.0","","4.4","2.1","1.4","","2.3","6.7","17.2","7.6","30.0","2.3",""
"ICS/ISCTE/GFK Metris","27/11/2023","803","Estratificada por sexo, idade, região e instrução","['Presencial']","18/11/2023","27/11/2023","29.0","","6.0","4.0","3.0","","1.0","6.0","15.0","9.0","26.0","1.0",""
"ICS/ISCTE/GFK Metris","27/11/2023","803","Estratificada por sexo, idade, região e instrução","['Presencial']","18/11/2023","27/11/2023","30.0","","5.0","3.0","3.0","","2.0","6.0","15.0","9.0","25.0","2.0",""
"CESOP-U.Católica","24/11/2023","1102","Estratificada por sexo, idade e região","['Telefónica']","15/11/2023","24/11/2023","28.0","","6.0","3.0","2.0","","2.0","9.0","16.0","3.0","29.0","2.0",""
"Aximage","23/11/2023","802","Quotas por sexo, idade e região","['Telefónica']","18/11/2023","23/11/2023","32.9","","6.9","3.2","2.9","","2.0","5.0","16.2","2.7","26.7","1.5",""
"Intercampus","17/11/2023","604","Quotas, por região, género e idade","['Telefónica']","14/11/2023","17/11/2023","25.5","","10.3","3.5","4.8","","3.2","9.1","14.6","3.5","23.7","2.1",""
"Aximage","13/11/2023","504","Quotas, por sexo, idade e região","[]","10/11/2023","13/11/2023","27.7","","8.5","3.2","3.2","","3.2","6.4","18.1","2.1","26.6","1.1",""
"Intercampus","08/11/2023","602","Quotas por género, idade e região","['Telefónica']","08/11/2023","08/11/2023","22.1","","9.8","4.0","2.8","","3.3","8.7","16.1","3.8","26.9","2.5",""
"Aximage","24/10/2023","805","Quotas, por sexo, idade e região","['Telefónica']","18/10/2023","24/10/2023","28.6","","7.1","3.8","4.8","","2.9","6.7","14.6","5.0","24.9","1.6",""
"Intercampus","23/10/2023","604","Quotas, por género e idade","['Telefónica']","18/10/2023","23/10/2023","27.3","","7.3","4.4","3.5","","1.5","9.0","12.7","4.7","27.9","1.7",""
"Aximage","05/10/2023","601","Quotas, por sexo, idade e região","['Telefónica']","2/10/2023","5/10/2023","29.3","","7.1","4.3","3.6","","2.8","5.3","13.6","5.8","25.6","2.6",""
"ICS/ISCTE/GFK Metris","25/09/2023","804","Quotas por Sexo, Idade, Instrução, Região e Habitat/Dimensão","['Presencial']","16/09/2023","25/09/2023","31.0","","6.0","6.0","2.0","","2.0","3.0","13.0","10.0","25.0","2.0",""
"Intercampus","14/09/2023","614","Quotas, por género e idade","['Telefónica']","9/09/2023","14/09/2023","30.0","","6.4","4.3","2.1","","2.3","9.3","12.8","3.5","28.6","0.8",""
"Intercampus","11/08/2023","607","Quotas, por género, idade e região","['Telefónica']","7/08/2023","11/08/2023","27.9","","8.0","3.7","3.4","","2.8","8.3","13.5","4.8","26.6","1.1",""
"CESOP-U.Católica","15/07/2023","1006","Estratificada por sexo, idade e região","['Telefónica']","6/07/2023","15/07/2023","32.0","","7.0","4.0","1.0","","2.0","7.0","10.0","3.0","33.0","1.0",""
"Aximage","11/07/2023","800","Quotas por sexo, idade e região.","['Telefónica']","6/07/2023","11/07/2023","28.8","","8.0","3.2","3.8","","2.7","5.2","13.0","6.5","27.7","1.1",""
"Intercampus","06/07/2023","623","Quotas, por género e idade","['Telefónica']","3/07/2023","6/07/2023","25.2","","9.5","4.6","4.8","","2.5","9.8","13.6","4.4","24.4","1.2",""
"CESOP-U.Católica","21/06/2023","2042","Aleatória","['Telefónica']","1/06/2023","21/06/2023","32.5","","6.5","2.6","1.3","","1.3","6.5","7.8","5.2","35.1","1.3",""
"Intercampus","31/05/2023","611","Quotas, por género e idade","['Telefónica']","25/05/2023","31/05/2023","24.5","","10.2","4.1","3.9","","2.4","8.8","12.9","4.5","26.3","2.4",""
"ICS/ISCTE/GFK Metris","28/05/2023","1024","Quotas por sexo, idade, instrução, região e habitat","['Presencial']","13/05/2023","28/05/2023","31.0","","5.0","5.0","2.0","","1.0","4.0","13.0","8.0","30.0","1.0",""
"Intercampus","05/05/2023","606","Quotas por género e idade.","['Telefónica']","4/05/2023","5/05/2023","25.7","","9.6","4.2","2.4","","2.3","8.4","14.6","5.4","25.5","1.8",""
"Aximage","14/04/2023","805","Quotas por sexo, idade e região","['Telefónica']","10/04/2023","14/04/2023","28.3","","6.3","3.5","4.5","","2.7","6.1","12.1","6.6","28.6","1.3",""
"Intercampus","12/04/2023","Unknown Sample Size","Quotas por género, idade e região","['Telefónica']","6/04/2023","12/04/2023","28.1","","7.8","4.8","2.6","","1.2","8.1","14.7","4.2","26.9","1.6",""
"ICS/ISCTE/GFK Metris","20/03/2023","807","Quotas por Sexo, Idade, Instruçãom Região e Habitat","['Presencial']","11/03/2023","20/03/2023","30.0","","5.0","5.0","2.0","","1.0","4.0","13.0","8.0","30.0","2.0",""
"Intercampus","15/03/2023","602","Unknown Stratification","['Telefónica']","9/03/2023","15/03/2023","28.4","","7.2","3.6","1.7","","2.7","7.9","15.2","4.8","27.3","1.5",""
"CESOP-U.Católica","17/02/2023","1002","Estratificada por sexo, idade e região","['Telefónica']","9/02/2023","17/02/2023","32.0","","7.0","4.0","2.0","","2.0","8.0","11.0","2.0","31.0","1.0",""
"Intercampus","10/02/2023","602","Quotas por género, idade e região","['Telefónica']","3/02/2023","10/02/2023","28.3","","5.8","4.7","2.9","","1.6","9.0","14.0","5.0","27.6","1.1",""
"Pitagórica","17/01/2023","828","Estratificada por género, idade e região","['Telefónica']","11/01/2023","17/01/2023","26.9","","5.6","2.2","0.9","","1.9","8.0","14.2","9.7","30.6","",""
"Aximage","14/01/2023","805","Quotas, por sexo, idade e região","['Telefónica']","10/01/2023","14/01/2023","27.1","","6.6","4.8","3.1","","3.4","9.5","12.9","6.1","25.1","1.4",""
"Intercampus","11/01/2023","605","Estratificada por género, idade e região","['Telefónica']","6/01/2023","11/01/2023","31.1","","7.5","3.7","3.7","","2.4","7.6","10.7","3.3","29.5","0.7",""
"ICS/ISCTE/GFK Metris","15/12/2022","809","Quotas","['Presencial']","3/12/2022","15/12/2022","37.0","","7.0","5.0","3.0","","","2.0","9.0","8.0","29.0","",""
"Pitagórica","15/12/2022","828","Estratificada por género, idade e região","['Telefónica']","9/12/2022","15/12/2022","35.9","","3.4","4.3","0.6","","2.2","5.2","9.1","8.2","30.4","0.7",""
"Intercampus","14/12/2022","633","Estratificada por género, idade e região","['Telefónica']","12/12/2022","14/12/2022","31.0","","8.6","4.4","3.6","","1.9","8.6","11.0","3.4","25.3","2.2",""
"Intercampus","20/11/2022","605","Quotas, por género e idade","['Telefónica']","15/11/2022","20/11/2022","28.8","","7.3","6.4","2.7","","2.7","8.0","13.6","2.7","26.2","1.5",""
"Pitagórica","17/11/2022","828","Quotas, por sexo, idade e distrito","['Telefónica']","11/11/2022","17/11/2022","35.1","","3.8","5.1","1.2","","2.0","6.1","8.2","6.8","30.4","1.3",""
"Intercampus","22/10/2022","607","Quotas, por região, género e idade","['Telefónica']","17/10/2022","22/10/2022","33.2","","7.2","3.0","2.1","","2.6","8.6","10.8","2.8","29.1","0.7",""
"Pitagórica","17/10/2022","817","Estratificada por género, idade e região","['Telefónica']","11/10/2022","17/10/2022","36.2","","3.9","3.8","1.2","","1.0","7.9","9.3","5.1","30.0","1.6",""
"Aximage","24/09/2022","810","Quotas, por sexo, idade, instrução e região","['Telefónica']","21/09/2022","24/09/2022","34.5","","3.8","3.2","3.0","","2.1","6.7","8.9","5.0","30.9","1.9",""
"ICS/ISCTE/GFK Metris","18/09/2022","807","Quotas por Sexo, Idade, Instrução, Região e Habitat/Dimensão","['Presencial']","10/09/2022","18/09/2022","37.0","","4.0","4.0","3.0","","","3.0","11.0","11.0","28.0","",""
"Intercampus","15/09/2022","606","Estratificada por género, idade e região","['Telefónica']","9/09/2022","15/09/2022","35.5","","6.0","3.4","2.9","","2.1","6.0","10.7","3.4","28.7","1.3",""
"Intercampus","03/08/2022","605","Quotas, por sexo e idade","['Telefónica']","3/08/2022","10/08/2022","38.5","","5.8","2.6","1.5","","2.2","8.3","9.8","4.0","26.5","0.8",""
"Pitagórica","28/07/2022","828","Estratificada por género, idade e região","['Telefónica']","28/07/2022","10/08/2022","36.7","","4.4","4.2","1.5","","1.5","8.5","9.5","3.6","27.6","2.5",""
"Intercampus","19/07/2022","605","Quotas por género, idade e região","['Telefónica']","6/07/2022","11/07/2022","39.8","","6.1","3.2","2.5","","1.9","9.6","9.4","2.7","22.4","2.3",""
"CESOP-U.Católica","15/07/2022","885","Estratificada por sexo, idade e região.","['Telefónica']","11/07/2022","15/07/2022","38.0","","5.0","5.0","1.0","","2.0","6.0","9.0","3.0","30.0","1.0",""
"Aximage","10/07/2022","810","Quotas, por sexo, idade e região","['Telefónica']","5/07/2022","10/07/2022","35.8","","5.6","3.3","1.9","","2.0","6.1","10.2","3.6","30.1","1.4",""
"Pitagórica","04/07/2022","828","Estratificada por género, idade e região","['Telefónica']","21/06/2022","4/07/2022","38.9","","5.3","3.9","1.2","","1.8","8.6","8.3","5.3","24.9","1.8",""
"Intercampus","14/06/2022","611","Quotas, por região, género e idade","['Telefónica']","8/06/2022","14/06/2022","38.8","","5.9","3.6","3.1","","1.4","7.8","9.3","2.6","24.5","3.1",""
"Intercampus","15/05/2022","611","Quotas, por género, idade e região","['Telefónica']","7/05/2022","15/05/2022","39.4","","5.9","4.1","4.1","","2.1","7.8","8.8","3.3","21.1","3.3",""
"Pitagórica","24/04/2022","625","Estratificada por género, idade e região","['Telefónica']","7/04/2022","24/04/2022","41.5","","5.1","4.3","1.4","","2.4","10.0","5.7","6.0","21.6","2.0",""
"Pitagórica","24/04/2022","625","Estratificada por género, idade e região","['Telefónica']","7/04/2022","24/04/2022","42.3","","5.1","4.5","1.1","","2.4","10.3","6.4","6.3","19.9","1.7",""
"Aximage","18/04/2022","807","Quotas, por sexo, idade e região","['Telefónica']","12/04/2022","18/04/2022","40.7","","4.0","4.1","1.5","","1.5","7.9","7.8","5.1","25.2","2.2",""
